Species,Tissue Class,Tissue Type,Cancer,Cell Type,Cell Marker,Source,Supported Sources,Details
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,0610009O20Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,0610030E20Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,0610040J01Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory ensheathing glia,0610040J01Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,1110017D15Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Basket cell,1190002N15Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,1190002N15Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,1600002K03Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,1600029O15Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,1700001K19Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,1700006F04Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,1700007G11Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,1700019D03Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,1700023F06Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,1700025G04Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,1700025G04Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,1700030K09Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,1700058G18Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,1700066M21Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,1700086L19Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,1700112E06Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,1700112E06Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,1700123I01Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,1810011O10Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,1810041L15Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,1810041L15Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Interneuron-selective cell,2010300C02Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,2310040G24Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,2410004B18Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,2410089E03Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,2410131K14Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,2510009E07Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,2610001J05Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Martinotti cell,2810011L19Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Late activated neural stem cell,2810417H13Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,2900026A02Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,3110002H16Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,3110021N24Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,3110035E14Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,3110039I08Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,3300002A11Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,3632451O06Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,4632428N05Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,4930480K15Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,4930506C21Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,4930529M08Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,4931428F04Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,5031439G07Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,5330417C22Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,5730508B09Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,6030419C18Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,6030419C18Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,6030443J06Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,6330403K07Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,6330403K07Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,6330409D20Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,6330416G13Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,6430548M08Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,9230102O04Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,9330101J02Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,9430020K01Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,9430038I01Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,9430091E24Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,9530082P21Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Neuron,A030009H04Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,A230056P14Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,A330050F15Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,A330074K22Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,A430035B10Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,A430105I19Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,A530058N18Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,A730017C20Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,A930006K02Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,A930009A15Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,A930011G23Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,A930011G23Rik,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Aar2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Aars2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Cajal-Retzius cell,Aatf,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Abca2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Abca3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Macrophage,Abca9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Abca9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Abcb1a,Single-cell sequencing,2,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Abcb1a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Abcb7,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Abcc8,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Smooth muscle cell,Abcc9,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Abcd2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Abcg2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Abcg4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Abhd2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Abhd4,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Microglial cell,Abi3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Abt1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Abtb2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Acaa1a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Acadl,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Acp1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Acsl3,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Astrocyte,Acsl6,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Acta2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Mural cell,Acta2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IA spiral ganglion neuron,Actn2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Actn2,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Early neuroblast,Acvr2a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Acvr2a,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Endothelial cell,Acvrl1,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type IC spiral ganglion neuron,Adam11,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Olfactory ensheathing glia,Adam12,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Oligodendrocyte precursor cell,Adam12,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Adam17,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type II spiral ganglion neuron,Adam19,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Long-projecting GABAergic cell,Adamts16,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Ependymal cell,Adamts20,Single-cell sequencing,1,DETAIL
Mouse,Brain,Brain,Normal cell,Type I spiral ganglion neuron,Adamts3,Single-cell sequencing,1,DETAIL
